날짜,일정
2025-03-01,삼일절
2025-03-03,대체휴일
2025-03-04,"입학, 개학식"
2025-03-19,학부모총회
2025-03-26,"전국연합(1,2,3)"
2025-04-07,"수련회(1)
수학여행(2)"
2025-04-08,"수련회(1)
수학여행(2)"
2025-04-09,"수련회(1)
수학여행(2)"
2025-04-28,1차지필평가
2025-04-29,1차지필평가
2025-04-30,1차지필평가
2025-05-01,1차지필평가
2025-05-02,1차지필평가
2025-05-05,어린이날 / 부처님오신날
2025-05-06,대체휴일
2025-05-08,전국연합(3)
2025-05-15,스승의날
2025-05-22,진로진학박람회
2025-06-03,"전국연합(1,2)
모의평가(3)"
2025-06-05,"건강검진(1)
결핵검사(2,3)"
2025-06-06,현충일
2025-06-30,2차지필평가
2025-07-01,2차지필평가
2025-07-02,2차지필평가
2025-07-03,2차지필평가
2025-07-04,2차지필평가
2025-07-07,교육과정박람회
2025-07-10,전국연합(3)
2025-07-11,학교자율과정
2025-07-14,리더십캠프
2025-07-15,리더십캠프
2025-07-18,방학식
2025-08-15,광복절
2025-08-18,개학
2025-09-03,"전국연합(1,2) / 모의평가(3)"
2025-09-26,1차지필평가
2025-09-29,1차지필평가
2025-09-30,1차지필평가
2025-10-01,1차지필평가
2025-10-02,1차지필평가
2025-10-03,개천절
2025-10-06,추석
2025-10-07,추석연휴
2025-10-08,대체휴일
2025-10-09,한글날
2025-10-10,재량휴업
2025-10-14,"전국연합(1,2,3)"
2025-10-17,학교자율과정
2025-10-24,정왕체육한마당
2025-11-06,교내환경정화활동
2025-11-07,(수능대청소)
2025-11-13,수능
2025-11-14,재량휴업
2025-11-17,2차지필평가(3)
2025-11-18,2차지필평가(3)
2025-11-19,2차지필평가(3)
2025-11-20,2차지필평가(3)
2025-11-21,2차지필평가(3)
2025-12-15,2차지필평가(3)
2025-12-16,2차지필평가(3)
2025-12-17,2차지필평가(3)
2025-12-18,2차지필평가(3)
2025-12-19,2차지필평가(3)
2025-12-25,성탄절
2025-12-31,정왕제
2026-01-01,신정
2026-01-09,졸업.종업식
2026-02-16,설연휴
2026-02-17,설날
2026-02-18,설연휴
